Quarter,Time,Down,ToGo,Location,SFO,MIA,Detail,EPB,EPA
4,1:47,2,2,MIA 46,17,22,Alec Ingold up the middle for 4 yards (tackle by Renardo Green and Fred Warner),2.000,2.260
4,1:44,,,,,,Timeout #2 by San Francisco 49ers,,
4,1:44,1,10,MIA 50,17,28,De'Von Achane right tackle for 50 yards touchdown,2.260,7.000
4,1:36,,,SFO 15,17,29,Jason Sanders kicks extra point good,0.000,0.000
4,1:36,,,MIA 35,17,29,Jason Sanders kicks off 65 yards touchback.,0.000,0.940
4,1:36,1,10,SFO 30,17,29,Brock Purdy pass complete short middle to Jauan Jennings for 7 yards (tackle by Storm Duck),0.940,1.340
4,1:19,2,3,SFO 37,17,29,Brock Purdy scrambles up the middle for 16 yards (tackle by Anthony Walker),1.340,2.460
4,1:03,1,10,MIA 47,17,29,Brock Purdy pass incomplete short left intended for Patrick Taylor,2.460,1.910
4,0:59,2,10,MIA 47,17,29,Brock Purdy sacked by Chop Robinson for -7 yards,1.910,0.300
4,0:49,,,,,,Timeout #3 by San Francisco 49ers,,
4,0:49,3,17,SFO 46,17,29,Brock Purdy pass complete short right to Deebo Samuel for 27 yards (tackle by Storm Duck and Jalen Ramsey),0.300,3.780
4,0:28,1,10,MIA 27,17,29,Brock Purdy spiked the ball,3.780,3.230
4,0:27,2,10,MIA 27,17,29,Brock Purdy pass complete short right to George Kittle for 9 yards (tackle by Jordan Poyer),3.230,3.840
4,0:14,3,1,MIA 18,17,29,Brock Purdy spiked the ball,3.840,2.400
4,0:13,4,1,MIA 18,17,29,Brock Purdy pass incomplete short right intended for Patrick Taylor (defended by Jevon Holland),2.400,-0.040
4,0:10,1,10,MIA 18,17,29,Tua Tagovailoa kneels for -1 yards,0.040,-0.650
